application_name,package_name,downloads,category,version,popularity_rank,activities,min_sdk,target_sdk,num_features,features,num_permissions,permissions
Duolingo: language lessons,com.duolingo,100M+,Education,5.101.7,51,128,24,33,1,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation,34,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; com.huawei.android.launcher.permission.WRITE_SETTINGS; me.everything.badger.permission.BADGE_COUNT_READ; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.oppo.launcher.permission.WRITE_SETTINGS; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_APP_BADGE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.duolingo.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; me.everything.badger.permission.BADGE_COUNT_WRITE; com.oppo.launcher.permission.READ_SETTINGS
Audible: Audio Entertainment,com.audible.application,100M+,Books & Reference,3.51.0,32,63,23,33,2,android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.faketouch implied: default feature for all apps,38,com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; android.permission.FOREGROUND_SERVICE; com.amazon.dcp.metrics.permission.METRICS_PERMISSION; android.permission.EXPAND_STATUS_BAR; amazon.permission.COLLECT_METRICS; com.amazon.kindle.cms.CMS_ACCESS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.BLUETOOTH' maxSdkVersion='30; android.permission.READ_PHONE_STATE' maxSdkVersion='22; com.amazon.dcp.sso.permission.CUSTOMER_ATTRIBUTE_SERVICE; com.audible.application.externalmediaplayer.permission.WAKE_UP; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; com.amazon.appmanager.preload.permission.READ_PRELOAD_DEVICE_INFO_PROVIDER; android.permission.POST_NOTIFICATIONS; com.amazon.alexa.handsfree.protocols.permission.DATA_SYNC; com.google.android.c2dm.permission.RECEIVE; com.amazon.dcp.sso.permission.USE_DEVICE_CREDENTIALS; com.amazon.identity.auth.device.perm.AUTH_SDK; com.amazon.dcp.config.permission.DYN_CONFIG_VALUES_UPDATED; android.permission.CHANGE_WIFI_MULTICAST_STATE; com.amazon.dcp.sso.permission.MANAGE_COR_PFM; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.audible.application.permission.C2D_MESSAGE; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.amazon.alexa.externalmediaplayer.permission.WAKE_UP; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.BLUETOOTH_CONNECT; com.amazon.identity.permission.CALL_AMAZON_DEVICE_INFORMATION_PROVIDER; android.permission.READ_EXTERNAL_STORAGE; com.amazon.dcp.sso.permission.AmazonAccountPropertyService.property.changed; com.amazon.dcp.sso.permission.account.changed
Canva: Design Photo & Video,com.canva.editor,100M+,Art & Design,2.213.0,31,29,23,31,3,android.hardware.screen.portrait; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,16,com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.VIBRATE; com.android.vending.BILLING; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
Microsoft Teams,com.microsoft.teams,100M+,Business,1416/1.0.0.2023093101,15,299,26,31,5,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,66,android.permission.BLUETOOTH_PRIVILEGED; android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.BLUETOOTH' maxSdkVersion='30; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; android.permission.MANAGE_ACCOUNTS; com.oppo.launcher.permission.WRITE_SETTINGS; com.google.android.c2dm.permission.RECEIVE; android.permission.DISABLE_KEYGUARD; android.permission.BLUETOOTH_SCAN; android.permission.READ_APP_BADGE; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.RECORD_AUDIO; android.permission.REQUEST_INSTALL_PACKAGES; com.majeur.launcher.permission.UPDATE_BADGE; android.permission.SCHEDULE_EXACT_ALARM; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; android.permission.INTERNET; android.permission.USE_FULL_SCREEN_INTENT; android.permission.BLUETOOTH_CONNECT; me.everything.badger.permission.BADGE_COUNT_WRITE; com.oppo.launcher.permission.READ_SETTINGS; android.permission.ACCESS_DOWNLOAD_MANAGER; android.permission.BLUETOOTH_ADMIN' maxSdkVersion='30; android.permission.READ_CONTACTS; android.permission.GET_ACCOUNTS; android.permission.CALL_PHONE; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.AUTHENTICATE_ACCOUNTS; android.permission.EXPAND_STATUS_BAR; android.permission.SYSTEM_ALERT_WINDOW; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.NFC; android.permission.WRITE_EXTERNAL_STORAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; android.permission.ACCESS_FINE_LOCATION; me.everything.badger.permission.BADGE_COUNT_READ; baidu.push.permission.WRITE_PUSHINFOPROVIDER.com.microsoft.teams; android.permission.MANAGE_OWN_CALLS; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS; android.permission.USE_FINGERPRINT; android.permission.WRITE_CONTACTS; com.microsoft.teams.permission.MIPUSH_RECEIVE; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; android.permission.RECORD_VIDEO; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.USE_CREDENTIALS; android.permission.USE_BIOMETRIC; android.permission.CHANGE_NETWORK_STATE; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.MODIFY_AUDIO_SETTINGS; android.permissAGE; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_SETTINGS; android.permission.READ_PHONE_STATE
Pluto TV - Live TV and Movies,tv.pluto.android,100M+,Entertainment,5.21.1,2,13,21,33,2,android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,11,com.google.android.gms.permission.AD_ID; android.permission.INTERNET; com.facebook.everythingtogether.contentprovider.GET_DEFERRED_DEEPLINK; android.permission.FOREGROUND_SERVICE; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; android.permission.RECEIVE_BOOT_COMPLETED; com.google.android.c2dm.permission.RECEIVE
Bumble: Dating & Friends app,com.bumble.app,50M+,Dating,5.319.1,73,199,21,31,7,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and targetSdkVersion > 4; android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,46,com.google.android.gms.permission.AD_ID; com.bumble.app.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.GET_ACCOUNTS; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.READ_PHONE_NUMBERS; android.permission.RECEIVE_BOOT_COMPLETED; com.huawei.android.launcher.permission.WRITE_SETTINGS; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FINGERPRINT; android.permission.POST_NOTIFICATIONS; com.oppo.launcher.permission.WRITE_SETTINGS; com.google.android.c2dm.permission.RECEIVE; android.permission.DISABLE_KEYGUARD; android.permission.READ_APP_BADGE; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; android.permission.USE_BIOMETRIC; android.permission.CHANGE_NETWORK_STATE; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.USE_FULL_SCREEN_INTENT; com.badoo.permission.SignaturePrivileged; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH; android.permission.BLUETOOTH_CONNECT; android.permission.READ_PHONE_STATE; com.oppo.launcher.permission.READ_SETTINGS
Be Closer: Share your location,com.becloser,10M+,Parenting,3.4,>200,17,23,33,4,android.hardware.camera implied: requested android.permission.CAMERA permission; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.faketouch implied: default feature for all apps,42,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.SYSTEM_ALERT_WINDOW; android.permission.READ_PROFILE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; android.permission.ACCESS_FINE_LOCATION; me.everything.badger.permission.BADGE_COUNT_READ; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.oppo.launcher.permission.WRITE_SETTINGS; oppo.permission.OPPO_COMPONENT_SAFE; android.permission.READ_APP_BADGE; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; com.majeur.launcher.permission.UPDATE_BADGE; android.permission.SCHEDULE_EXACT_ALARM; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; com.huawei.permission.external_app_settings.USE_COMPONENT; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACTIVITY_RECOGNITION; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; me.everything.badger.permission.BADGE_COUNT_WRITE; com.google.android.gms.permission.ACTIVITY_RECOGNITION; com.oppo.launcher.permission.READ_SETTINGS
Cardboard,com.google.samples.apps.cardboarddemo,10M+,Librairies & Demo,4.3.3,>200,16,19,33,8,android.hardware.sensor.gyroscope; android.hardware.sensor.accelerometer; android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.screen.landscape implied: one or more activities have specified a landscape orientation; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,15,android.permission.READ_MEDIA_VIDEO; com.google.android.gms.permission.AD_ID; android.permission.READ_MEDIA_IMAGES; android.permission.BLUETOOTH_ADMIN; android.permission.VIBRATE; android.permission.NFC; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH
FIFA+ | Your Home for Football,com.fifa.fifaapp.android,10M+,Sports,5.6.7,70,355,24,31,5,android.hardware.camera implied: requested android.permission.CAMERA permission; android.hardware.screen.landscape implied: one or more activities have specified a landscape orientation; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_MULTICAST_STATE permission and android.permission.CHANGE_WIFI_STATE permission,25,com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; android.permission.DOWNLOAD_WITHOUT_NOTIFICATION; android.permission.FOREGROUND_SERVICE; android.permission.SYSTEM_ALERT_WINDOW; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; com.google.android.c2dm.permission.RECEIVE; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.CHANGE_WIFI_MULTICAST_STATE; android.permission.VIBRATE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.app.appname.permission.C2D_MESSAGE; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
Expedia: Hotels Flights & Car,com.expedia.bookings,10M+,Travel & Local,22.48.0,68,84,26,30,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,21,com.google.android.gms.permission.AD_ID; android.permission.READ_SYNC_SETTINGS; android.permission.GET_ACCOUNTS; android.permission.AUTHENTICATE_ACCOUNTS; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.WRITE_SYNC_SETTINGS; android.permission.READ_SYNC_STATS; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.MANAGE_ACCOUNTS; com.google.android.c2dm.permission.RECEIVE; com.google.android.providers.gsf.permission.READ_GSERVICES
Temu: Shop Like a Billionaire,com.einnovation.temu,10M+,Application,1.69.0,1,31,21,31,1,android.hardware.camera,16,com.google.android.gms.permission.AD_ID; android.permission.VIBRATE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.RECORD_AUDIO; android.permission.WRITE_EXTERNAL_STORAGE; com.adjust.preinstall.READ_PERMISSION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; com.einnovation.temu.remote_config; android.permission.READ_EXTERNAL_STORAGE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
The Weather Network,com.pelmorex.WeatherEyeAndroid,10M+,Weather,7.18.1.8552,64,63,23,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,23,android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_MEDIA_VIDEO; com.google.android.gms.permission.AD_ID; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.FOREGROUND_SERVICE; android.permission.READ_MEDIA_IMAGES; android.permission.REORDER_TASKS; com.android.vending.BILLING; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.ACCESS_FINE_LOCATION; android.permission.SCHEDULE_EXACT_ALARM; android.permission.ACCESS_COARSE_LOCATION; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; android.permission.MANAGE_ACCOUNTS; com.google.android.c2dm.permission.RECEIVE; com.google.android.gms.permission.ACTIVITY_RECOGNITION
PictureThis - Plant Identifier,cn.danatech.xingseus,10M+,Education,3.5,25,197,21,31,4,android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,15,com.google.android.gms.permission.AD_ID; android.permission.ACCESS_MEDIA_LOCATION; android.permission.FOREGROUND_SERVICE; com.android.vending.BILLING; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.INTERNET; cn.danatech.xingseus.permission.C2D_MESSAGE; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE
Ticketmaster: Buy Sell Tickets,com.ticketmaster.mobile.android.na,10M+,Events,240,22,110,23,31,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,22,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.CALL_PHONE; android.permission.WRITE_CALENDAR; android.permission.FOREGROUND_SERVICE; android.permission.VIBRATE; android.permission.READ_CALENDAR; android.permission.REORDER_TASKS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE; com.google.android.c2dm.permission.RECEIVE; com.google.android.providers.gsf.permission.READ_GSERVICES
Shop: All your favorite brands,com.shopify.arrive,10M+,Shopping,2.83.0,19,10,21,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,20,android.permission.READ_PHONE_NUMBERS; android.permission.VIBRATE; android.permission.STORAGE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE' maxSdkVersion='29; android.permission.SCHEDULE_EXACT_ALARM; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.USE_BIOMETRIC; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FINGERPRINT; android.permission.USE_CREDENTIALS' maxSdkVersion='22; android.permission.CAMERA; android.permission.POST_NOTIFICATIONS; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE
Lensa: Avatar Maker Editor,com.lensa.app,10M+,Photography,4.3.8,1,46,26,33,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,16,android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.android.vending.BILLING; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.BILLING; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
