application_name,package_name,downloads,category,version,popularity_rank,activities,min_sdk,target_sdk,num_features,features,num_permissions,permissions
McDonald's Canada,com.mcdonalds.superapp,5M+,Food & Drink,9.4.0,14,157,21,30,5,android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,22,com.google.android.gms.permission.AD_ID; com.mcdonalds.superapp.permission.MAPS_RECEIVE; android.permission.FOREGROUND_SERVICE; android.permission.VIBRATE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.android.alarm.permission.SET_ALARM; android.permission.ACCESS_FINE_LOCATION; android.permission.CHANGE_WIFI_STATE; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.USE_CREDENTIALS; android.permission.ACCESS_NETWORK_STATE; android.permission.GET_TASKS; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE; android.permission.READ_PHONE_STATE; com.google.android.providers.gsf.permission.READ_GSERVICES
Fever: Local Events & Tickets,com.feverup.fever,5M+,Events,5.44.2,>200,125,24,32,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.faketouch implied: default feature for all apps,39,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; com.feverup.fever.BRANCH_SHARE_PERMISSION; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.feverup.fever.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; com.huawei.android.launcher.permission.WRITE_SETTINGS; android.permission.ACCESS_FINE_LOCATION; com.feverup.fever.permission.C2D_MESSAGE; me.everything.badger.permission.BADGE_COUNT_READ; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.oppo.launcher.permission.WRITE_SETTINGS; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_MEDIA_VIDEO; android.permission.READ_MEDIA_AUDIO; android.permission.READ_APP_BADGE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; com.feverup.fever.BRANCH_PERMISSION; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; me.everything.badger.permission.BADGE_COUNT_WRITE; com.oppo.launcher.permission.READ_SETTINGS
Sephora: Buy Makeup & Skincare,com.sephora,5M+,Beauty,23.9,75,130,24,32,6,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,26,android.permission.BLUETOOTH_ADMIN' maxSdkVersion='30; com.google.android.gms.permission.AD_ID; android.permission.FLASHLIGHT; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; com.android.vending.CHECK_LICENSE; android.permission.BLUETOOTH' maxSdkVersion='30; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; com.sephora.permission.C2D_MESSAGE; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; android.permission.BLUETOOTH_SCAN; android.permission.ACCESS_BACKGROUND_LOCATION; android.permission.VIBRATE; android.permission.REORDER_TASKS; android.permission.CAMERA2; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CAMERA; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
Wonder - AI Art Generator,com.codeway.wonder,5M+,Art & Design,2.9.32,3,76,21,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,38,com.google.android.gms.permission.AD_ID; com.sonyericsson.home.permission.BROADCAST_BADGE; com.codeway.wonder.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.WRITE_EXTERNAL_STORAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; me.everything.badger.permission.BADGE_COUNT_READ; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.ACCESS_WIFI_STATE; com.codeway.wonder.permission.C2D_MESSAGE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.oppo.launcher.permission.WRITE_SETTINGS; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; android.permission.READ_APP_BADGE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE; com.majeur.launcher.permission.UPDATE_BADGE; android.permission.SCHEDULE_EXACT_ALARM; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.USE_FULL_SCREEN_INTENT; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; me.everything.badger.permission.BADGE_COUNT_WRITE; android.permission.READ_PHONE_STATE; com.oppo.launcher.permission.READ_SETTINGS
AutoTrader - Shop Car Deals,ca.autotrader.userapp,1M+,Auto & Vehicles,8.6.0,>200,60,24,31,4,android.hardware.screen.landscape implied: one or more activities have specified a landscape orientation; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,15,com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.CAMERA' maxSdkVersion='22; android.permission.ACCESS_FINE_LOCATION; ca.autotrader.userapp.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; ca.autotrader.userapp.permission.READ_EXTERNAL_STORAGE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
Messenger Lite - SMS Launcher,com.myhomescreen.messenger.home.emoji.lite,1M+,Personalization,2.8.43,93,65,28,31,5,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.telephony implied: requested a telephony permission; android.hardware.camera.flash,58,android.permission.REQUEST_DELETE_PACKAGES; net.oneplus.launcher.permission.READ_SETTINGS; com.actionlauncher.playstore.permission.READ_SETTINGS; com.myhomescreen.messenger.home.emoji.lite.permission.WRITE_SETTINGS; org.adw.launcher.one.permission.READ_SETTINGS; com.transsion.hilauncher.permission.READ_SETTINGS; com.google.android.apps.nexuslauncher.permission.READ_SETTINGS; org.adwfreak.launcher.permission.READ_SETTINGS; android.permission.WAKE_LOCK; android.permission.CANCEL_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; android.permission.PACKAGE_USAGE_STATS; com.cyanogenmod.trebuchet.permission.READ_SETTINGS; com.myhomescreen.messenger.home.emoji.lite.permission.READ_SETTINGS; android.permission.SET_WALLPAPER_HINTS; com.motorola.launcher3.permission.READ_SETTINGS; android.permission.INTERNET; com.chrislacy.actionlauncher.permission.READ_SETTINGS; android.permission.SET_WALLPAPER; android.permission.BLUETOOTH_CONNECT; com.oppo.launcher.permission.READ_SETTINGS; android.permission.READ_CONTACTS; com.teslacoilsw.launcher.permission.READ_SETTINGS; com.google.android.gms.permission.AD_ID; android.permission.READ_SMS; android.permission.GET_ACCOUNTS; android.permission.FLASHLIGHT; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.EXPAND_STATUS_BAR; android.permission.BLUETOOTH_ADMIN; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; com.anddoes.launcher.permission.READ_SETTINGS; android.permission.ACCESS_NOTIFICATION_POLICY; com.lge.launcher3.permission.READ_SETTINGS; android.permission.ACCESS_NETWORK_STATE; org.adw.launcher.permission.READ_SETTINGS; com.android.launcher.permission.INSTALL_SHORTCUT; android.permission.SEND_SMS; android.permission.RECEIVE_SMS; android.permission.WRITE_SMS; com.android.launcher.permission.READ_SETTINGS; android.permission.VIBRATE; android.permission.RECEIVE_MMS; com.google.android.launcher.permission.READ_SETTINGS; com.tcl.android.launcher.permission.READ_SETTINGS; com.android.launcher3.permission.READ_SETTINGS; com.samsung.android.launcher.permission.READ_SETTINGS; com.motorola.launcher3.permission.WRITE_SETTINGS; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH; android.permission.READ_PHONE_STATE; android.permission.WRITE_SETTINGS; com.android.launcher.permission.WRITE_SETTINGS
Local News: Breaking & Latest,com.novanews.android.localnews.en,1M+,News & Magazines,2.10.7,74,75,24,32,5,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location.network; android.hardware.location; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,39,com.google.android.gms.permission.AD_ID; android.permission.GET_ACCOUNTS; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.AUTHENTICATE_ACCOUNTS; android.permission.RECEIVE_USER_PRESENT; android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='29; com.sonyericsson.home.action.UPDATE_BADGE; android.permission.RECEIVE_BOOT_COMPLETED; com.huawei.android.launcher.permission.WRITE_SETTINGS; me.everything.badger.permission.BADGE_COUNT_READ; android.permission.ACCESS_COARSE_LOCATION; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.POST_NOTIFICATIONS; com.oppo.launcher.permission.WRITE_SETTINGS; com.google.android.c2dm.permission.RECEIVE; android.permission.READ_APP_BADGE; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.WRITE_SYNC_SETTINGS; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; com.huawei.permission.external_app_settings.USE_COMPONENT; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='29; android.permission.USE_FULL_SCREEN_INTENT; com.huawei.android.launcher.permission.READ_SETTINGS; me.everything.badger.permission.BADGE_COUNT_WRITE; com.oppo.launcher.permission.READ_SETTINGS
AI Mirror: AI Art Photo Editor,com.ai.polyverse.mirror,1M+,Photography,2.1.0,55,63,21,33,4,android.hardware.camera implied: requested android.permission.CAMERA permission; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,17,com.google.android.gms.permission.AD_ID; android.permission.ACCESS_MEDIA_LOCATION; android.permission.FOREGROUND_SERVICE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; com.android.vending.BILLING; android.permission.WRITE_EXTERNAL_STORAGE; com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE; android.permission.PHOTOS; android.permission.INTERNET; com.ai.polyverse.mirror.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE
Air Canada + Aeroplan,com.aircanada,1M+,Travel & Local,5.33.2,53,29,24,32,4,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.faketouch implied: default feature for all apps,27,android.permission.BLUETOOTH_ADMIN' maxSdkVersion='30; com.google.android.gms.permission.AD_ID; android.permission.WRITE_CALENDAR; android.permission.FOREGROUND_SERVICE; android.permission.READ_CALENDAR; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.NFC; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.BLUETOOTH' maxSdkVersion='30; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FINGERPRINT; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; android.permission.BLUETOOTH_SCAN; android.permission.VIBRATE; android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; android.permission.USE_BIOMETRIC; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH_CONNECT; android.permission.WRITE_SETTINGS
Feelsy: Stress Anxiety Relief,app.feelsy,1M+,Health & Fitness,3.9.0,27,34,24,33,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.vulkan.version; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission,18,com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.VIBRATE; com.android.vending.BILLING; android.permission.WRITE_EXTERNAL_STORAGE; com.applovin.array.apphub.permission.BIND_APPHUB_SERVICE; android.permission.SCHEDULE_EXACT_ALARM; android.permission.ACCESS_NOTIFICATION_POLICY; android.permission.INTERNET; android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS' maxSdkVersion='30; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FULL_SCREEN_INTENT; android.permission.POST_NOTIFICATIONS; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE
ChatGPT powered Chat - Nova AI,com.scaleup.chatai,1M+,Productivity,1.7.0,5,19,24,33,5,android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,35,com.google.android.gms.permission.AD_ID; com.sonyericsson.home.permission.BROADCAST_BADGE; com.htc.launcher.permission.READ_SETTINGS; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; com.scaleup.chatai.permission.C2D_MESSAGE; com.huawei.android.launcher.permission.WRITE_SETTINGS; me.everything.badger.permission.BADGE_COUNT_READ; com.sec.android.provider.badge.permission.WRITE; com.sec.android.provider.badge.permission.READ; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.anddoes.launcher.permission.UPDATE_COUNT; android.permission.ACCESS_WIFI_STATE; com.scaleup.chatai.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; com.oppo.launcher.permission.WRITE_SETTINGS; android.permission.READ_APP_BADGE; android.permission.READ_MEDIA_IMAGES; android.permission.VIBRATE; android.permission.REORDER_TASKS; com.huawei.android.launcher.permission.CHANGE_BADGE; com.android.vending.BILLING; android.permission.RECORD_AUDIO; com.majeur.launcher.permission.UPDATE_BADGE; com.sonymobile.home.permission.PROVIDER_INSERT_BADGE; com.htc.launcher.permission.UPDATE_SHORTCUT; android.permission.INTERNET; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; com.huawei.android.launcher.permission.READ_SETTINGS; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; me.everything.badger.permission.BADGE_COUNT_WRITE; com.oppo.launcher.permission.READ_SETTINGS
REALTOR.ca Real Estate & Homes,ca.crea.app.consumer,500K+,House & Home,4.4.0,>200,32,29,33,4,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,22,android.permission.READ_CONTACTS; com.google.android.gms.permission.AD_ID; android.permission.CALL_PHONE; android.permission.FOREGROUND_SERVICE; android.permission.WRITE_CALENDAR; android.permission.VIBRATE; android.permission.SYSTEM_ALERT_WINDOW; ca.crea.app.consumer.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.READ_CALENDAR; android.permission.READ_PROFILE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
Shoppers Drug Mart,com.loblaw.shoppersdrugmart,500K+,Medical,4.16.0,>200,15,23,33,5,android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,18,com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; com.loblaw.shoppersdrugmart.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.INTERNET; android.permission.USE_BIOMETRIC; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.USE_FINGERPRINT; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.POST_NOTIFICATIONS; android.permission.READ_EXTERNAL_STORAGE; com.google.android.c2dm.permission.RECEIVE
VIZ Manga,com.vizmanga.android,500K+,Comics,1.11.13,>200,17,23,33,3,android.hardware.touchscreen; android.hardware.screen.portrait; android.hardware.touchscreen.multitouch,16,android.permission.READ_EXTERNAL_STORAGE' maxSdkVersion='32; com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; BIND_GET_INSTALL_REFERRER_SERVICE; com.android.vending.BILLING; android.permission.WRITE_EXTERNAL_STORAGE; com.android.vending.CHECK_LICENSE; com.singular.preinstall.READ_PERMISSION_SINGULAR; com.vizmanga.android.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.GET_TASKS; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE
CBC Sports: Scores & News,ca.cbc.android.sports,500K+,Sports,5.3.1,102,35,21,31,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi; android.hardware.faketouch implied: default feature for all apps,13,com.google.android.gms.permission.AD_ID; android.permission.FOREGROUND_SERVICE; android.permission.VIBRATE; custom.permission.NEWS_CONTENT_PROVIDER; android.permission.RECEIVE_BOOT_COMPLETED; com.android.alarm.permission.SET_ALARM; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACCESS_WIFI_STATE; ca.cbc.android.sports.permission.C2D_MESSAGE; com.google.android.c2dm.permission.RECEIVE
PC Health,com.loblaw.pchealth,500K+,Health & Fitness,1.53.3,14,29,23,33,6,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.camera; android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission and android.permission.ACCESS_FINE_LOCATION permission; android.hardware.faketouch implied: default feature for all apps,27,android.permission.BLUETOOTH_ADMIN' maxSdkVersion='30; com.google.android.gms.permission.AD_ID; android.permission.BLUETOOTH_PRIVILEGED; android.permission.FOREGROUND_SERVICE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.BLUETOOTH' maxSdkVersion='30; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_COARSE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.USE_FINGERPRINT; android.permission.POST_NOTIFICATIONS; com.google.android.c2dm.permission.RECEIVE; android.permission.BLUETOOTH_SCAN; android.permission.VIBRATE; android.permission.RECORD_AUDIO; android.permission.INTERNET; android.permission.USE_BIOMETRIC; com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE; android.permission.ACTIVITY_RECOGNITION; android.permission.WRITE_EXTERNAL_STORAGE' maxSdkVersion='28; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.CAMERA; android.permission.READ_EXTERNAL_STORAGE; android.permission.BLUETOOTH_CONNECT; com.google.android.gms.permission.ACTIVITY_RECOGNITION
